1	1	1	2
2	4	1	85
3	2	1	5
4	1	2	3
5	1	3	4
6	1	3	7
7	1	3	6
8	1	4	7
9	1	4	8
10	1	5	8
11	3	5	87
12	5	5	9
13	4	5	54
14	2	6	1
15	2	6	109
16	3	6	111
17	1	7	8
18	6	7	9
19	8	7	102
20	6	8	9
21	4	9	82
22	3	9	10
23	3	10	17
24	2	10	68
25	2	11	90
26	2	11	89
27	1	11	58
28	5	11	37
29	5	11	91
30	3	12	46
31	3	12	47
32	4	12	85
33	7	12	111
34	2	13	14
35	3	13	102
36	3	14	113
37	2	14	104
38	6	14	109
39	1	15	83
40	1	15	16
41	3	17	82
42	1	17	18
43	4	18	68
44	3	18	67
45	5	18	27
46	4	18	79
47	3	18	81
48	1	19	20
49	5	19	21
50	3	19	99
51	4	19	106
52	5	21	98
53	1	21	22
54	3	21	25
55	1	21	23
56	1	21	24
57	12	21	27
58	6	21	81
59	5	23	80
60	7	23	26
61	1	23	24
62	2	26	76
63	2	26	77
64	2	26	78
65	3	26	80
66	7	27	64
67	4	27	66
68	4	27	67
69	4	27	79
70	6	27	73
71	5	27	74
72	6	27	77
73	10	27	29
74	4	27	79
75	6	27	71
76	4	28	73
77	1	28	75
78	5	29	72
79	6	29	73
80	8	29	30
81	2	30	31
82	3	30	32
83	10	30	73
84	1	31	32
85	6	33	44
86	5	33	39
87	7	33	45
88	3	34	39
89	2	34	41
90	3	34	92
91	2	34	93
92	1	35	36
93	3	36	114
94	5	36	52
95	2	37	59
96	3	37	60
97	3	37	62
98	7	37	114
99	10	38	51
100	2	39	40
101	1	40	41
102	4	40	42
103	4	41	43
104	2	42	43
105	2	42	45
106	4	42	46
107	4	43	48
108	2	43	50
109	4	44	45
110	4	45	46
111	2	46	47
112	1	47	48
113	2	48	49
114	2	48	86
115	2	49	50
116	2	49	90
117	2	49	86
118	2	50	90
119	4	50	92
120	3	51	52
121	4	51	53
122	3	52	53
123	4	53	97
124	4	53	96
125	9	53	62
126	9	53	63
127	3	53	114
128	3	54	87
129	4	54	55
130	3	55	56
131	2	55	69
132	3	55	61
133	1	55	57
134	2	56	88
135	3	57	61
136	2	57	59
137	3	57	58
138	2	58	59
139	2	59	60
140	2	60	61
141	5	61	68
142	2	61	65
143	1	62	63
144	3	63	64
145	4	63	115
146	3	64	65
147	4	64	66
148	6	64	70
149	6	64	115
150	2	65	66
151	2	66	67
152	4	67	68
153	2	68	69
154	1	70	71
155	4	70	115
156	2	71	72
157	4	71	95
158	6	72	95
159	2	73	74
160	2	74	77
161	2	74	75
162	2	75	76
163	2	76	77
164	2	77	78
165	2	78	79
166	2	78	80
167	2	79	80
168	3	81	82
169	2	82	83
170	1	84	103
171	4	85	86
172	2	85	87
173	2	86	88
174	2	86	89
175	3	87	88
176	1	88	89
177	2	89	90
178	4	90	91
179	3	91	92
180	4	91	94
181	2	92	93
182	2	93	94
183	2	95	115
184	7	95	96
185	4	95	70
186	4	96	97
187	2	98	99
188	1	98	100
189	2	99	100
190	3	99	101
191	2	99	106
192	2	100	101
193	3	101	102
194	3	101	105
195	2	102	103
196	3	102	105
197	2	104	105
198	1	105	107
199	5	106	107
200	1	107	108
201	2	109	110
202	4	109	113
203	1	110	111
204	3	110	112
205	3	112	113
206	4	116	9
207	1	116	84
208	3	117	83
209	1	117	84
210	3	118	15
211	2	118	98
212	3	119	35
213	3	119	94
214	7	119	11
215	2	120	60
216	2	120	61
217	3	120	62
218	2	120	64
219	4	121	9
220	3	121	54
221	2	121	69
222	2	121	68
223	5	122	7
224	2	122	13
225	3	122	14
226	3	122	109
227	1	123	11
228	2	123	89
229	2	123	56
230	3	123	57
231	5	119	37
232	6	7	116
233	1	116	117
234	4	117	118
235	4	118	21
236	1	124	10
237	2	124	82
238	3	124	17
239	2	124	9
